VALUE,COUNT,FSTTYP_W,LC16_EVT_2,FORTYPCD,FORTYPNAME,FILTER,KB COMMENT,FLDTYPCD,FLDTYPNAME,EVT_NAME,EVT_LF,SAF_SRM
551,12701,520,7158,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Montane Riparian Woodland,Tree,SAF 222: Black Cottonwood-Willow
564,6186,520,7165,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,SRM 109: Ponderosa Pine-Shrubland
566,1497,520,7010,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Western Larch Savanna,Tree,SAF 212: Western Larch
569,5117,520,7053,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,SAF 237: Interior Ponderosa Pine
575,4859,520,7050,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Lodgepole Pine Forest,Tree,SAF 218: Lodgepole Pine
581,199404,520,9012,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Lower Montane Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
588,19432,520,7011,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Aspen Forest and Woodland,Tree,SAF 217: Aspen
641,6677,520,7156,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Lowland Riparian Forest,Tree,SAF 222: Black Cottonwood-Willow
671,10790,520,7055,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,SAF 206: Engelmann Spruce-Subalpine Fir
688,121,520,7046,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,SAF 208: Whitebark Pine
705,370,520,7041,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Mountain Hemlock Forest,Tree,SAF 205: Mountain Hemlock
714,10091,520,7056,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,SAF 206: Engelmann Spruce-Subalpine Fir
768,5,520,7174,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Tree,SAF 226: Coastal True Fir-Hemlock
769,631,520,7045,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,SAF 210: Interior Douglas-Fir
785,901,520,7047,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,SAF 213: Grand Fir
796,242,520,7018,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,SAF 213: Grand Fir
851,4,520,7042,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,SAF 226: Coastal True Fir-Hemlock
883,33,520,7161,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern Rocky Mountain Conifer Swamp,Tree,SAF 227: Western Redcedar-Western Hemlock
913,1,520,7038,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Maritime Mesic Subalpine Parkland,Tree,SAF 205: Mountain Hemlock
